gene	node_type
GUSB	gene
KL	gene
LOC89944	gene
GLB1	gene
HYAL1	gene
HYAL2	gene
SPAM1	gene
HYAL3	gene
LOC402588	gene
HYAL4	gene
CEMIP2	gene
CEMIP	gene
IDS	gene
HGSNAT	gene
IDUA	gene
GNS	gene
DKFZP686E12166	gene
SGSH	gene
NAGLU	gene
HEXA	gene
HEXB	gene
HEXD	gene
GALNS	gene
DKFZP686E12166	PPI
UBC	PPI
CDK4	PPI
SLC2A4	PPI
CES1	PPI
HNF4A	PPI
GIT2	PPI
TAZ	PPI
TMEM25	PPI
FBXO6	PPI
PIK3R2	PPI
FGF10	PPI
FLRT2	PPI
FRS3	PPI
FGF17	PPI
NRAS	PPI
HRAS	PPI
KRAS	PPI
WNT1	PPI
ATP1A1	PPI
FGF1	PPI
FGF4	PPI
FGF2	PPI
UBB	PPI
FGF6	PPI
FGFR1	PPI
FGF3	PPI
FGF5	PPI
ATP1A3	PPI
PLCG1	PPI
FGFR2	PPI
FGFR4	PPI
FGFR3	PPI
CBL	PPI
MAPK3	PPI
PIK3R1	PPI
MAPK1	PPI
SHC1	PPI
FGF9	PPI
WNT5A	PPI
PIK3CA	PPI
PIK3CB	PPI
ATP1A2	PPI
FGF8	PPI
WNT3	PPI
WNT3A	PPI
WNT4	PPI
RPS27A	PPI
UBA52	PPI
GRB2	PPI
PTPN11	PPI
SOS1	PPI
GAB1	PPI
FRS2	PPI
FGF23	PPI
FGF22	PPI
FGF20	PPI
TRPV5	PPI
FLRT3	PPI
FLRT1	PPI
LGALS3	PPI
TNFRSF1A	PPI
M6PR	PPI
DNAJB2	PPI
PLK1	PPI
VCP	PPI
ABCE1	PPI
YPEL5	PPI
CSNK2B	PPI
MEPCE	PPI
MARS2	PPI
NEU1	PPI
USP42	PPI
CTNNBIP1	PPI
VAPA	PPI
TFIP11	PPI
DNAJB4	PPI
ATP6AP2	PPI
FOS	PPI
TK1	PPI
VIM	PPI
CTSA	PPI
H2AFX	PPI
KLHL21	PPI
COL2A1	PPI
FHL3	PPI
PON2	PPI
PTPRK	PPI
STAB2	PPI
CHP1	PPI
KRTAP3-2	PPI
DPEP2	PPI
LYVE1	PPI
HMMR	PPI
CD44	PPI
SLC9A1	PPI
KRTAP10-3	PPI
DAB1	PPI
SLC22A2	PPI
DCUN1D1	PPI
B9D1	PPI
PLXNA2	PPI
TAF1	PPI
NDST1	PPI
NDST2	PPI
DLG4	PPI
ST3GAL4	PPI
CUL1	PPI
PDIA5	PPI
MESDC2	PPI
TCTN1	PPI
TUBB8	PPI
CBWD3	PPI
CERCAM	PPI
MANEAL	PPI
GALNT18	PPI
B3GLCT	PPI
TMPPE	PPI
DHFRL1	PPI
P3H3	PPI
POMGNT2	PPI
SUMF1	PPI
B3GALNT2	PPI
P3H4	PPI
EXT2	PPI
KLHL15	PPI
ERGIC2	PPI
XYLT2	PPI
PDF	PPI
FKBP14	PPI
FBXO3	PPI
PPT2	PPI
AP3M1	PPI
LOXL2	PPI
COCH	PPI
ENTPD5	PPI
FBXO21	PPI
WDR47	PPI
ADAMTS2	PPI
HSPA5	PPI
PAM	PPI
MPP3	PPI
MTHFSD	PPI
NCK1	PPI
MSN	PPI
CCNG1	PPI
PRKAA2	PPI
MAX	PPI
PRKAA1	PPI
PARD6B	PPI
KIF2A	PPI
CEP152	PPI
FGFR1OP	PPI
ABL1	PPI
MYC	PPI
FYN	PPI
SRC	PPI
NAAA	PPI
PLAUR	PPI
SIAE	PPI
HARS	PPI
HARS2	PPI
DNAJC3	PPI
ART3	PPI
IQCB1	PPI
PDIA6	PPI
SUSD4	PPI
LIPH	PPI
TOR3A	PPI
UGGT2	PPI
UGGT1	PPI
HYOU1	PPI
LGALS9	PPI
TOR1A	PPI
TOR1B	PPI
NPHP4	PPI
CANX	PPI
GM2A	PPI
CRK	PPI
BAG6	PPI
ST13	PPI
PPP5C	PPI
TUBA1B	PPI
TUBA4A	PPI
EIF4EBP1	PPI
EIF4EBP2	PPI
TUBA3C	PPI
HNRNPD	PPI
TUBA3E	PPI
NAPRT	PPI
TUBA1A	PPI
SGTB	PPI
CEP170P1	PPI
USP22	PPI
FAN1	PPI
SYNCRIP	PPI
EIF4EBP3	PPI
NUP214	PPI
KIF19	PPI
TGS1	PPI
SMC6	PPI
TSNAX	PPI
VCPKMT	PPI
BACH1	PPI
SOD1	PPI
MTNR1A	PPI
DNASE2B	PPI
ISLR	PPI
ARSA	PPI
