V1	V2
GSTM3	GSTM2
GSTM3	MPG
GSTM3	HLA-C
GSTM3	GSTM5
GSTM3	PSEN1
GSTM3	HMGA2
GSTM3	SUMO2
GSTM3	YWHAG
GSTM3	GRB2
GSTM3	GSTO1
GSTM3	ECT2L
GSTM3	GSTM4
GSTM3	YWHAH
GSTM3	RBL2
GSTM3	PAK2
GSTM3	SLBP
GSTM3	PLS1
GSTM3	GSTA3
GSTM3	GSTA5
GSTM3	GSTCD
GSTM3	HNRNPLL
GSTM3	FAM120B
GSTM3	PPP1R13B
GSTM3	HSD17B10
GSTM3	MGST2
GSTM3	SH3GL2
GSTM3	GNB1L
GSTM3	ATG5
GSTM3	GSTO2
GSTM3	MOV10
GSTM3	LANCL2
GSTM3	KLHL42
GSTM3	NXF1
GSTM3	TPX2
GSTM3	GSTK1
GSTM3	TRAF6
GSTM3	UCHL5
GSTM3	MGST3
GSTM3	GSTA4
GSTM3	GSTZ1
GSTM3	BAG3
GSTM3	GH1
GSTM3	ESR1
GSTM3	ENO1
GSTM3	GSTP1
GSTM3	GSTM1
GSTM3	GSTT2
GSTM3	GSTT2B
GSTM3	UBC
GSTM3	MGST1
GSTM3	TFE3
GSTM5	PSEN1
GSTM5	HMGA2
GSTM5	HSPA2
GSTM5	ACTB
GSTM5	YWHAG
GSTM5	ACTG1
GSTM5	CCT2
GSTM5	GSTO1
GSTM5	GSTM4
GSTM5	YWHAH
GSTM5	KCNMA1
GSTM5	GSTA3
GSTM5	GSTA5
GSTM5	ARFGAP1
GSTM5	GSTCD
GSTM5	MAP3K5
GSTM5	HSD17B10
GSTM5	MGST2
GSTM5	GSTO2
GSTM5	AMOTL2
GSTM5	GSTK1
GSTM5	MGST3
GSTM5	GSTA4
GSTM5	GSTZ1
GSTM5	ERLIN2
GSTM5	ATP5B
GSTM5	TUBB
GSTM5	GSTP1
GSTM5	GSTM1
GSTM5	GSTT2
GSTM5	GSTT2B
GSTM5	UBC
GSTM5	MGST1
GSTM5	HSPA8
GSTM5	SLC2A4
GSTM5	GSTM3
GSTM5	GSTM2
GSTM5	PPP1CC
GSTK1	SRPRB
GSTK1	GTF3C3
GSTK1	COPG1
GSTK1	IGF2BP2
GSTK1	MGST3
GSTK1	TIMM23
GSTK1	POLR1C
GSTK1	GSTA4
GSTK1	ZW10
GSTK1	GSTZ1
GSTK1	USO1
GSTK1	COQ9
GSTK1	UFL1
GSTK1	CCNDBP1
GSTK1	SMC2
GSTK1	AHSA1
GSTK1	EGFR
GSTK1	FN1
GSTK1	CYP1A1
