V1	V2
GUSB	UBC
GUSB	CDK4
GUSB	SLC2A4
GUSB	IDS
GUSB	CES1
GUSB	HNF4A
GUSB	GIT2
GUSB	TAZ
GUSB	TMEM25
GUSB	FBXO6
KL	PIK3R2
KL	FGF10
KL	FLRT2
KL	FRS3
KL	FGF17
KL	NRAS
KL	HRAS
KL	KRAS
KL	WNT1
KL	ATP1A1
KL	FGF1
KL	FGF4
KL	FGF2
KL	UBB
KL	UBC
KL	FGF6
KL	FGFR1
KL	FGF3
KL	FGF5
KL	ATP1A3
KL	PLCG1
KL	FGFR2
KL	FGFR4
KL	FGFR3
KL	CBL
KL	MAPK3
KL	PIK3R1
KL	MAPK1
KL	SHC1
KL	FGF9
KL	WNT5A
KL	PIK3CA
KL	PIK3CB
KL	ATP1A2
KL	FGF8
KL	WNT3
KL	WNT3A
KL	WNT4
KL	RPS27A
KL	UBA52
KL	GRB2
KL	PTPN11
KL	SOS1
KL	GAB1
KL	FRS2
KL	FGF23
KL	FGF22
KL	FGF20
KL	TRPV5
KL	FLRT3
KL	FLRT1
IDS	GALNS
IDS	NDST1
IDS	NDST2
IDS	DLG4
IDS	ST3GAL4
IDS	CUL1
IDS	PDIA5
IDS	MESDC2
IDS	TAZ
IDS	TCTN1
IDS	TUBB8
IDS	CBWD3
IDS	CERCAM
IDS	MANEAL
IDS	GALNT18
IDS	B3GLCT
IDS	TMPPE
IDS	DHFRL1
IDS	P3H3
IDS	POMGNT2
IDS	SUMF1
IDS	B3GALNT2
IDS	P3H4
IDS	EXT2
IDS	KLHL15
IDS	ERGIC2
IDS	XYLT2
IDS	PDF
IDS	FKBP14
IDS	FBXO3
IDS	PPT2
IDS	AP3M1
IDS	LOXL2
IDS	COCH
IDS	ENTPD5
IDS	FBXO21
IDS	WDR47
IDS	ADAMTS2
IDS	FOS
IDS	GUSB
IDS	HSPA5
IDS	PAM
ARSB	NAAA
ARSB	PLAUR
ARSB	PTPRK
ARSB	ELAVL1
ARSB	SUSD4
ARSB	SUMF1
ARSB	SIAE
ARSB	STXBP5L
ARSB	MYC
ARSB	ESR1
ARSB	SLC2A4
IDUA	MPP3
IDUA	MTHFSD
HEXA	HEXB
HEXA	SLC2A4
HEXA	H2AFX
HEXA	GM2A
HEXA	HNF4A
HEXA	CRK
HEXA	BAG6
HEXA	ST13
HEXA	PPP5C
HEXA	YPEL5
HEXA	GRB2
HEXA	TUBA1B
HEXA	TUBA4A
HEXA	EIF4EBP1
HEXA	EIF4EBP2
HEXA	TUBA3C
HEXA	HNRNPD
HEXA	IQCB1
HEXA	TUBA3E
HEXA	NAPRT
HEXA	TUBA1A
HEXA	SGTB
HEXA	CEP170P1
HEXA	FBXO6
HEXA	USP22
HEXA	FAN1
HEXA	SYNCRIP
HEXA	EIF4EBP3
HEXA	ABL1
HEXA	FYN
HEXB	UBC
HEXB	SLC2A4
HEXB	GM2A
HEXB	NUP214
HEXB	ST13
HEXB	PPP5C
HEXB	ABCE1
HEXB	GRB2
HEXB	CSNK2B
HEXB	TUBA1B
HEXB	TUBA4A
HEXB	EIF4EBP1
HEXB	EIF4EBP2
HEXB	TUBA3C
HEXB	IQCB1
HEXB	KIF19
HEXB	TUBA3E
HEXB	NAPRT
HEXB	TUBA1A
HEXB	TGS1
HEXB	SMC6
HEXB	TSNAX
HEXB	VCPKMT
HEXB	FBXO6
HEXB	BACH1
HEXB	EIF4EBP3
HEXB	SOD1
HEXB	HEXA
GALNS	MTNR1A
GALNS	MAX
GALNS	NAAA
GALNS	PLAUR
GALNS	PTPRK
GALNS	TAZ
GALNS	DNASE2B
GALNS	NEU1
GALNS	DPEP2
GALNS	ISLR
GALNS	ARSA
GALNS	IDS
