gene1	gene	score
POLD1	RBX1	1
POLD1	RPS27A	1
POLD1	UBA52	1
POLD1	UBE2B	1
POLD1	ERCC6	1
POLD1	EP300	1
POLD1	ERCC8	1
POLD1	CUL4A	1
POLD1	CUL4B	1
POLD1	GTF2H2	1
POLD1	GTF2H3	1
POLD1	POLA2	1
POLD1	POLD3	1
POLD1	DDB1	1
POLD1	UVSSA	1
POLD1	GTF2H5	1
POLD1	CHD1L	1
POLD1	DDB2	1
POLD1	GTF2H4	1
POLD1	ERCC4	1
POLD1	USP7	1
POLD1	ZNF830	1
POLD1	XAB2	1
POLD1	POLD4	1
POLD1	RAD18	1
POLD1	DTL	1
POLD1	POLK	1
POLD1	ISY1	1
POLD1	PRPF19	1
POLD1	PPIE	1
POLD1	POLR2D	1
POLD1	AQR	1
POLD1	HMGN1	1
POLD1	POLB	1
POLD1	ERCC1	1
POLD1	PARP1	1
POLD1	POLA1	1
POLD1	UBB	1
POLD1	UBC	1
POLD1	PCNA	1
POLD1	RPA2	1
POLD1	ERCC2	1
POLD1	LIG1	1
POLD1	XRCC1	1
POLD1	POLR2C	1
POLD1	POLR2E	1
POLD1	ERCC3	1
POLD1	XPA	1
POLD1	TCEA1	1
POLD1	POLR2A	1
POLD1	RPA1	1
POLD1	APEX1	1
POLG	POLG2	1
POLA1	UBC	1
POLA1	PCNA	1
POLA1	RPA2	1
POLA1	RPA1	1
POLA1	POLD1	1
POLA1	MCM4	1
POLA1	RPA3	1
POLA1	RFC4	1
POLA1	RFC2	1
POLA1	RFC1	1
POLA1	FEN1	1
POLA1	RFC5	1
POLA1	RFC3	1
POLA1	POLD2	1
POLA1	PRIM1	1
POLA1	PRIM2	1
POLA1	DNA2	1
POLA1	POLE2	1
POLA1	POLE	1
POLA1	POLA2	1
POLA1	GINS1	1
POLA1	POLD3	1
POLA1	GINS4	1
POLA1	POLD4	1
POLA1	POLE4	1
POLA1	POLE3	1
POLA1	CDC45	1
POLA1	WDHD1	1
POLE	POLA2	1
POLE	HIST2H2BE	1
POLE	HIST2H2BF	1
POLE	H2BFWT	1
POLE	HIST3H2BB	1
POLE	HIST1H2BH	1
POLE	HIST1H2BA	1
POLE	HIST1H2BN	1
POLE	HIST1H2BM	1
POLE	HIST1H2BL	1
POLE	POLE4	1
POLE	POLE3	1
POLE	HIST1H2BK	1
POLE	HIST1H2BJ	1
POLE	POLA1	1
POLE	UBC	1
POLE	HIST1H2BO	1
POLE	HIST1H2BB	1
POLE	PRIM1	1
POLE	PRIM2	1
POLE	POLE2	1
POLE	HIST1H2BD	1
POLE	HIST1H2BC	1
POLL	XRCC6	1
POLL	XRCC5	1
POLL	LIG4	1
POLL	PRKDC	1
POLL	XRCC4	1
POLL	DCLRE1C	1
POLL	NHEJ1	1
POLL	POLM	1
POLM	POLL	1
POLM	XRCC6	1
POLM	XRCC5	1
POLM	LIG4	1
POLM	PRKDC	1
POLM	XRCC4	1
POLM	DCLRE1C	1
POLM	NHEJ1	1
POLH	UBE2L6	1
POLH	ISG15	1
POLH	UBB	1
POLH	UBC	1
POLH	PCNA	1
POLH	RPA2	1
POLH	RPA1	1
POLH	RPA3	1
POLH	RFC4	1
POLH	RFC2	1
POLH	RFC1	1
POLH	RFC5	1
POLH	RFC3	1
POLH	UBA7	1
POLH	VCP	1
POLH	RPS27A	1
POLH	UBA52	1
POLH	TRIM25	1
POLH	USP10	1
POLH	NPLOC4	1
POLH	UFD1L	1
POLH	RCHY1	1
POLH	SPRTN	1
POLH	RAD18	1
POLH	POLK	1
POLH	REV1	1
POLH	POLI	1
POLI	POLH	1
POLI	UBE2L6	1
POLI	REV3L	1
POLI	ISG15	1
POLI	UBB	1
POLI	UBC	1
POLI	PCNA	1
POLI	RPA2	1
POLI	RPA1	1
POLI	RPA3	1
POLI	RFC4	1
POLI	RFC2	1
POLI	RFC1	1
POLI	RFC5	1
POLI	RFC3	1
POLI	UBA7	1
POLI	RPS27A	1
POLI	UBA52	1
POLI	TRIM25	1
POLI	USP10	1
POLI	POLK	1
POLI	REV1	1
POLI	MAD2L2	1
POLK	REV1	1
POLK	MAD2L2	1
POLK	ISY1	1
POLK	PRPF19	1
POLK	POLI	1
POLK	PPIE	1
POLK	POLH	1
POLK	UBE2L6	1
POLK	POLR2D	1
POLK	AQR	1
POLK	REV3L	1
POLK	HMGN1	1
POLK	ISG15	1
POLK	ERCC1	1
POLK	PARP1	1
POLK	UBB	1
POLK	UBC	1
POLK	PCNA	1
POLK	RPA2	1
POLK	ERCC2	1
POLK	LIG1	1
POLK	XRCC1	1
POLK	POLR2C	1
POLK	POLR2E	1
POLK	ERCC3	1
POLK	XPA	1
POLK	TCEA1	1
POLK	POLR2A	1
POLK	RPA1	1
POLK	POLD1	1
POLK	ERCC5	1
POLK	POLR2B	1
POLK	GTF2H1	1
POLK	RPA3	1
POLK	RFC4	1
POLK	RFC2	1
POLK	RFC1	1
POLK	POLR2I	1
POLK	RFC5	1
POLK	RFC3	1
POLK	UBA7	1
POLK	POLD2	1
POLK	LIG3	1
POLK	CDK7	1
POLK	CCNH	1
POLK	MNAT1	1
POLK	POLR2H	1
POLK	POLR2J	1
POLK	POLR2K	1
POLK	POLR2F	1
POLK	POLR2G	1
POLK	POLR2L	1
POLK	RBX1	1
POLK	RPS27A	1
POLK	UBA52	1
POLK	ERCC6	1
POLK	EP300	1
POLK	ERCC8	1
POLK	CUL4A	1
POLK	CUL4B	1
POLK	GTF2H2	1
POLK	GTF2H3	1
POLK	TRIM25	1
POLK	USP10	1
POLK	POLD3	1
POLK	DDB1	1
POLK	UVSSA	1
POLK	GTF2H5	1
POLK	CHD1L	1
POLK	DDB2	1
POLK	GTF2H4	1
POLK	ERCC4	1
POLK	USP7	1
POLK	ZNF830	1
POLK	XAB2	1
POLK	POLD4	1
REV3L	UBB	1
REV3L	UBC	1
REV3L	PCNA	1
REV3L	RPA2	1
REV3L	RPA1	1
REV3L	RPA3	1
REV3L	RFC4	1
REV3L	RFC2	1
REV3L	RFC1	1
REV3L	RFC5	1
REV3L	RFC3	1
REV3L	RPS27A	1
REV3L	UBA52	1
REV3L	POLK	1
REV3L	REV1	1
REV3L	MAD2L2	1
REV3L	POLI	1
POLN	FANCM	1
POLN	FANCB	1
POLN	FAAP24	1
POLN	FANCD2	1
POLN	FANCE	1
POLN	FANCF	1
POLN	FANCI	1
POLN	FANCL	1
POLN	FANCG	1
POLN	FANCA	1
POLN	UBB	1
POLN	UBC	1
POLN	RPS27A	1
POLN	UBA52	1
POLN	FANCC	1
POLN	FAAP100	1
POLN	FAAP20	1
POLQ	PARP1	1
POLQ	FEN1	1
POLQ	MRE11A	1
POLQ	RAD50	1
POLQ	RBBP8	1
POLQ	NBN	1
POLE2	POLE	1
POLE2	POLA2	1
POLE2	GINS1	1
POLE2	POLE4	1
POLE2	POLE3	1
POLE2	POLA1	1
POLE2	UBC	1
POLE2	PRIM1	1
POLE2	PRIM2	1
POLE3	CHRAC1	1
POLE3	SMARCA5	1
POLE3	POLA1	1
POLE3	UBC	1
POLE3	PRIM1	1
POLE3	PRIM2	1
POLE3	POLE2	1
POLE3	DR1	1
POLE3	POLE	1
POLE3	POLA2	1
POLE3	POLE4	1
POLE4	POLE3	1
POLE4	POLA1	1
POLE4	PRIM1	1
