gene	node_type
FBP2	gene
ADH	gene
DMEL\CG18814	gene
ADHR	gene
FBP2	PPI
ADH	PPI
DMEL\CG18814	PPI
ADHR	PPI
BETATUB85D	PPI
E(SPL)M8-HLH	PPI
CG32219	PPI
RAB14	PPI
RPS15AB	PPI
CG15754	PPI
GSB	PPI
MF	PPI
LSP2	PPI
NPLP2	PPI
UP	PPI
CYT-C1	PPI
MLC2	PPI
RTNL1	PPI
KDN	PPI
APOLPP	PPI
CG42709	PPI
OVO	PPI
CG31343	PPI
NC73EF	PPI
CYT-C-P	PPI
PGK	PPI
MLC1	PPI
CG5500	PPI
GPDH	PPI
ENO	PPI
WUPA	PPI
FER2LCH	PPI
CG5177	PPI
MDH2	PPI
RCD-1R	PPI
CG7920	PPI
CG34205	PPI
GSTS1	PPI
OBP56D	PPI
TM2	PPI
TPNC41C	PPI
CG5645	PPI
ACT79B	PPI
SEC24AB	PPI
SCP1	PPI
MAL-A2	PPI
TSF1	PPI
GPO-1	PPI
PPO1	PPI
ARGK	PPI
CG16826	PPI
GLYP	PPI
YP3	PPI
FER1HCH	PPI
YP2	PPI
PRM	PPI
GAPDH2	PPI
ACTN	PPI
CG16885	PPI
ND-PDSW	PPI
CG10581	PPI
PGLYM78	PPI
ACT88F	PPI
MHC	PPI
CG5506	PPI
CG34172	PPI
C(3)G	PPI
ATPSYNDELTA	PPI
FLN	PPI
CG32473	PPI
ACON	PPI
GDH	PPI
COX4	PPI
ALD	PPI
EPAC	PPI
CG14207	PPI
ND-18	PPI
YP1	PPI
CG7409	PPI
SNM1	PPI
GRO	PPI
ZASP52	PPI
CKIIALPHA	PPI
E(SPL)M5-HLH	PPI
HH	PPI
CYP1	PPI
TRXR-1	PPI
TM1	PPI
ZASP66	PPI
BLW	PPI
ATPSYNB	PPI
ATPSYNG	PPI
ATPSYNBETA	PPI
ATPSYNO	PPI
ATPSYNF	PPI
ATPSYNCF6	PPI
SUN	PPI
ATPSYNE	PPI
ATPSYND	PPI
BRP	PPI
KNI	PPI
RAB11	PPI
CG31125	PPI
IDH	PPI
FTZ-F1	PPI
ARF79F	PPI
HISRS	PPI
CG3565	PPI
HSC70-2	PPI
PDE8	PPI
IKKBETA	PPI
ACT57B	PPI
PEX14	PPI
HIS3.3A	PPI
PHB2	PPI
FADD	PPI
GAPDH1	PPI
TAB2	PPI
JHI-26	PPI
PEX5	PPI
E(SPL)MBETA-HLH	PPI
ATO	PPI
CG31731	PPI
GLYS	PPI
H	PPI
DGT2	PPI
E(SPL)M7-HLH	PPI
SLMB	PPI
DGRN	PPI
DPN	PPI
DA	PPI
CCDC53	PPI
RAB7	PPI
E(SPL)MGAMMA-HLH	PPI
E(SPL)MDELTA-HLH	PPI
CG32086	PPI
WHD	PPI
ATL	PPI
PCS	PPI
CG9986	PPI
TRIO	PPI
FIS1	PPI
KLP98A	PPI
OCRL	PPI
GDI	PPI
DYS	PPI
CG6607	PPI
EVI5	PPI
RBPN-5	PPI
CG9590	PPI
CG7956	PPI
TBC1D15-17	PPI
RABEX-5	PPI
CG1309	PPI
YKI	PPI
CG13840	PPI
BSG	PPI
CG4198	PPI
BNB	PPI
CG31802	PPI
OSI14	PPI
MRPL35	PPI
NETO	PPI
TEKTIN-C	PPI
CG5665	PPI
CG11275	PPI
AKT1	PPI
PINS	PPI
TSG101	PPI
CG17776	PPI
SMYDA-7	PPI
CG8349	PPI
PORIN	PPI
CG13510	PPI
CG10298	PPI
OSK	PPI
CG9090	PPI
TPNC4	PPI
CG31198	PPI
DPIT47	PPI
CG4390	PPI
CPR64AC	PPI
RPL18A	PPI
IDGF4	PPI
CG4962	PPI
OBP99C	PPI
EIG71EK	PPI
E(Y)1	PPI
OBP44A	PPI
MED6	PPI
EBPIII	PPI
MYO10A	PPI
LASP	PPI
ICLN	PPI
SGG	PPI
UQCR-C1	PPI
REGUCALCIN	PPI
UQCR-C2	PPI
MPCP	PPI
CSN4	PPI
P53	PPI
COX5A	PPI
L(1)G0156	PPI
RFESP	PPI
OX	PPI
XBP1	PPI
UQCR-Q	PPI
MATS	PPI
UQCR-6.4	PPI
UQCR-11	PPI
UQCR-14	PPI
CKIIBETA	PPI
ZORMIN	PPI
NMD	PPI
CG6330	PPI
CG11566	PPI
NACP60E	PPI
CP38	PPI
ACP1	PPI
CG15576	PPI
APP-BP1	PPI
MWH	PPI
CG17260	PPI
STG1	PPI
SH3PX1	PPI
PASI1	PPI
CG9674	PPI
CAP	PPI
CG42795	PPI
CG1418	PPI
PLX	PPI
CG4042	PPI
TRAL	PPI
YT521-B	PPI
CG4744	PPI
ROW	PPI
CG32026	PPI
CG43343	PPI
BIN1	PPI
CG42321	PPI
CG6191	PPI
PP1-87B	PPI
KLP68D	PPI
PIF1A	PPI
SYP	PPI
TCP-1ETA	PPI
CKIIALPHA-I3	PPI
TOC	PPI
NST	PPI
SNRPG	PPI
