gene	node_type
MAL12	gene
MAL32	gene
PGM1	gene
PGM2	gene
GPH1	gene
EMI2	gene
GLK1	gene
PSK1	PPI
HUG1	PPI
SSB2	PPI
TPK3	PPI
SSA1	PPI
MMS22	PPI
SSB1	PPI
RPN11	PPI
OSW2	PPI
SBA1	PPI
ENT5	PPI
SSA3	PPI
PHO85	PPI
YBR013C	PPI
ECM10	PPI
SSA2	PPI
SSE1	PPI
QRI7	PPI
ENT3	PPI
RSP5	PPI
ESS1	PPI
SSM4	PPI
SIS1	PPI
PRP40	PPI
PAC1	PPI
CMK1	PPI
PTK2	PPI
HSP104	PPI
RPN10	PPI
RAD59	PPI
PSK2	PPI
TPK1	PPI
SPT7	PPI
ATP14	PPI
CHS7	PPI
RPN1	PPI
UBC7	PPI
HSP42	PPI
STE4	PPI
TPD3	PPI
SSD1	PPI
VMA8	PPI
CLN1	PPI
PRP6	PPI
DBP8	PPI
SNC2	PPI
PTC5	PPI
ARP2	PPI
UTP13	PPI
YDR306C	PPI
ARC35	PPI
ARC40	PPI
SEC27	PPI
KAP104	PPI
IST3	PPI
UBP3	PPI
RFC2	PPI
BNI1	PPI
CMD1	PPI
SSL2	PPI
YPR015C	PPI
TOM1	PPI
ADE17	PPI
DUN1	PPI
RFA3	PPI
ALO1	PPI
APP1	PPI
HRR25	PPI
SML1	PPI
GLC7	PPI
BCY1	PPI
ESA1	PPI
CDC28	PPI
WWM1	PPI
PASK	PPI
RAD30	PPI
PIG2	PPI
DBF20	PPI
PRP11	PPI
SNF4	PPI
KIN82	PPI
NNK1	PPI
UTP9	PPI
YKU80	PPI
RCK1	PPI
KIC1	PPI
URN1	PPI
DBF2	PPI
HAL5	PPI
RAD50	PPI
RCK2	PPI
DCP2	PPI
PRK1	PPI
GIP2	PPI
VAM6	PPI
KAP120	PPI
HRK1	PPI
LTE1	PPI
SIW14	PPI
CHK1	PPI
SKS1	PPI
VPH1	PPI
SIP1	PPI
NPA3	PPI
YDJ1	PPI
WSS1	PPI
YPL150W	PPI
JSN1	PPI
YCK3	PPI
HSP82	PPI
NAS6	PPI
PUS6	PPI
HHF1	PPI
YGL081W	PPI
ACT1	PPI
SWA2	PPI
RPP0	PPI
RVS167	PPI
TPS1	PPI
CDC9	PPI
YTA6	PPI
SPT2	PPI
CDC14	PPI
CWC22	PPI
ARG81	PPI
RIM11	PPI
ARG2	PPI
SKP2	PPI
CAF20	PPI
YBL036C	PPI
FIG1	PPI
HAP2	PPI
SHE3	PPI
NAN1	PPI
POL30	PPI
SEN15	PPI
SRP1	PPI
MOB2	PPI
CSE2	PPI
RPT5	PPI
PEX7	PPI
NOP58	PPI
YPT10	PPI
SWD1	PPI
SRS2	PPI
ERB1	PPI
PHO4	PPI
AFG3	PPI
TEM1	PPI
MLH3	PPI
PPZ2	PPI
CDC10	PPI
TMA19	PPI
PPT1	PPI
SIR3	PPI
GYP6	PPI
RFC4	PPI
SLT2	PPI
RAD16	PPI
ATG5	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
SUP35	PPI
PRE4	PPI
PUP1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
FES1	PPI
STI1	PPI
RTT107	PPI
DSK2	PPI
TPK2	PPI
SGT2	PPI
RTT101	PPI
ECM29	PPI
PCL7	PPI
PCL6	PPI
RPN9	PPI
RPT1	PPI
SGF29	PPI
SGF11	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
STE5	PPI
SSO1	PPI
COP1	PPI
HRP1	PPI
BUD13	PPI
CNA1	PPI
RFA2	PPI
REF2	PPI
EAF1	PPI
YAF9	PPI
CDH1	PPI
UTP8	PPI
XRS2	PPI
HOG1	PPI
PEP5	PPI
VMA13	PPI
VMA6	PPI
TAH1	PPI
HAT1	PPI
LAS17	PPI
CDC33	PPI
HAP5	PPI
RAD51	PPI
YTM1	PPI
MLH1	PPI
ATG16	PPI
SSE2	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
CTF4	PPI
BUD27	PPI
RPN14	PPI
URA7	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
SPT23	PPI
ALY2	PPI
UBC1	PPI
RPN12	PPI
BRR2	PPI
SEC9	PPI
ARC19	PPI
PWP2	PPI
SEC28	PPI
BUD6	PPI
MYO2	PPI
GAC1	PPI
YPI1	PPI
