gene	node_type
PLCD1	gene
PLCG1	gene
PLCH1	gene
PLCB2	gene
PLCE1	gene
MKIAA0581	gene
PLCB1	gene
PLCH2	gene
PLCB3	gene
PLCB4	gene
PLCZ1	gene
PLCD4	gene
PLCD3	gene
GDPD5	gene
PLCG2	gene
PIP4P1	gene
PIP4P2	gene
PIP4K2A	gene
PIP4K2B	gene
PIP4K2C	gene
PLCD1	PPI
PLCG1	PPI
PLCH1	PPI
PLCB2	PPI
PLCE1	PPI
MKIAA0581	PPI
PLCB1	PPI
PLCH2	PPI
PLCB3	PPI
PLCB4	PPI
PLCZ1	PPI
PLCD4	PPI
PLCD3	PPI
GDPD5	PPI
PLCG2	PPI
PIP4P1	PPI
PIP4P2	PPI
PIP4K2A	PPI
PIP4K2B	PPI
PIP4K2C	PPI
SYK	PPI
LCP2	PPI
NTRK2	PPI
KIT	PPI
VIL1	PPI
KHDRBS1	PPI
STAT6	PPI
RABL2	PPI
RET	PPI
ISG15	PPI
STK11	PPI
PTK2	PPI
TEC	PPI
RANBP2	PPI
INPP5D	PPI
LEPR	PPI
FLT1	PPI
PDGFRB	PPI
PTPN1	PPI
DAB1	PPI
GRIN1	PPI
SOS1	PPI
VAV1	PPI
RET	PPI
LAT	PPI
KHDRBS2	PPI
GAB1	PPI
THEMIS	PPI
JAK2	PPI
EPOR	PPI
CD22	PPI
INSR	PPI
CBL	PPI
NTRK1	PPI
GRB2	PPI
GRIN2B	PPI
KPNB1	PPI
LRMP	PPI
CALU	PPI
TBC1D15	PPI
LMNB1	PPI
POLA1	PPI
HRAS	PPI
RYR2	PPI
SIAH2	PPI
RPS20	PPI
CCT2	PPI
RPL32	PPI
SHANK3	PPI
SF3B1	PPI
SSR4	PPI
VDAC2	PPI
RPL9	PPI
SRSF3	PPI
EIF5A	PPI
H2AFZ	PPI
CSNK2A1	PPI
SMC1A	PPI
SLC25A5	PPI
OLA1	PPI
SNRPD2	PPI
SRSF2	PPI
SET	PPI
EIF3K	PPI
CNOT1	PPI
NUMA1	PPI
D1PAS1	PPI
NDUFS3	PPI
TPT1	PPI
STOML2	PPI
RPL31	PPI
EEF1A2	PPI
RPS24	PPI
SLC25A3	PPI
PTPN6	PPI
ITPR1	PPI
HOMER1	PPI
TAL1	PPI
TRIM27	PPI
DYNLT1A	PPI
ZBTB7B	PPI
SOS2	PPI
FLNA	PPI
CSF1R	PPI
BLNK	PPI
PDCD6IP	PPI
BACH2	PPI
GSN	PPI
TOX4	PPI
ERRFI1	PPI
FN1	PPI
PHC2	PPI
DVL2	PPI
SPTBN1	PPI
FHL2	PPI
SH3KBP1	PPI
FYN	PPI
CRYAB	PPI
NDC80	PPI
LYN	PPI
UCK1	PPI
BLK	PPI
MERTK	PPI
CAP1	PPI
LIME1	PPI
HAX1	PPI
BTK	PPI
SPRY2	PPI
EPB41L2	PPI
NBR1	PPI
REPS1	PPI
GIT1	PPI
TNFRSF1A	PPI
CTR9	PPI
EED	PPI
CRKL	PPI
DLG4	PPI
SRC	PPI
SHC1	PPI
EZH2	PPI
GRAP2	PPI
GRIN2A	PPI
FKBP1B	PPI
PIRB	PPI
RNF2	PPI
SOCS1	PPI
SUZ12	PPI
CD79A	PPI
VAV1	PPI
NTF3	PPI
SORT1	PPI
PIK3R1	PPI
RASA1	PPI
SOCS3	PPI
SH2B2	PPI
CD28	PPI
KPNA2	PPI
TCF3	PPI
STAT1	PPI
PXN	PPI
PTPN11	PPI
BCAR1	PPI
APP	PPI
LRP8	PPI
SYNGAP1	PPI
STAT3	PPI
ABL1	PPI
LCK	PPI
EGFR	PPI
PIK3R2	PPI
HCK	PPI
ITSN1	PPI
SORBS1	PPI
SQSTM1	PPI
FRS2	PPI
APP	PPI
POLA2	PPI
RASSF5	PPI
SMC3	PPI
SIRPA	PPI
CEACAM1	PPI
UBC	PPI
GATA2	PPI
GATA1	PPI
LMO2	PPI
HDAC1	PPI
DYNC1I1	PPI
PDCD6	PPI
BMI1	PPI
PCGF2	PPI
SLAMF1	PPI
HCLS1	PPI
TBK1	PPI
POU2AF1	PPI
CEACAM20	PPI
SLC4A1	PPI
EPOR	PPI
SH3BP2	PPI
TRAF6	PPI
CLEC4D	PPI
PIK3R1	PPI
TLR4	PPI
MAP3K7	PPI
CBLB	PPI
POU2F2	PPI
MYD88	PPI
CRK	PPI
CASP1	PPI
FGR	PPI
WIPF1	PPI
FCER1G	PPI
TNFRSF1A	PPI
TUBA4A	PPI
TYROBP	PPI
SLC4A1	PPI
TRAF3	PPI
UBASH3B	PPI
NFAM1	PPI
RHOH	PPI
DOK1	PPI
CD247	PPI
TICAM1	PPI
IL15RA	PPI
ITGB3	PPI
GAB2	PPI
NCK1	PPI
FYB	PPI
MAP4K1	PPI
WAS	PPI
CD6	PPI
CDK5	PPI
TIAM1	PPI
GIPC1	PPI
CDK5R1	PPI
BDNF	PPI
TRIP13	PPI
EFNA5	PPI
SOCS2	PPI
BCLAF1	PPI
APPL1	PPI
HGS	PPI
SPRED2	PPI
FIZ1	PPI
MATK	PPI
FES	PPI
STAP1	PPI
PLK1	PPI
KITL	PPI
SPRED1	PPI
ADAM8	PPI
