gene	node_type
IDI1	gene
IDI2	gene
IDI1	PPI
IDI2	PPI
KCNMA1	PPI
HSPA8	PPI
CEP290	PPI
COL1A1	PPI
APOH	PPI
HSPD1	PPI
FGB	PPI
RUVBL1	PPI
VAT1	PPI
PSMD11	PPI
PRX	PPI
NUDC	PPI
ALAD	PPI
IDH3A	PPI
HPCAL1	PPI
PPIA	PPI
CFL1	PPI
DDAH1	PPI
PGRMC2	PPI
RAP1A	PPI
RPL12	PPI
GDI1	PPI
CTBP1	PPI
CALB2	PPI
CBX1	PPI
RAB1A	PPI
CMPK1	PPI
LGALS1	PPI
MDH2	PPI
MPZ	PPI
AMPD2	PPI
TUBGCP2	PPI
ATP1A2	PPI
KLC2	PPI
TNK2	PPI
STXBP1	PPI
HPCA	PPI
MYH1	PPI
HPX	PPI
ATP5B	PPI
ENO1	PPI
ATP5A1	PPI
LDHA	PPI
MBP	PPI
LCP1	PPI
TRF	PPI
SUCLA2	PPI
ALDH6A1	PPI
SPR	PPI
ARHGDIB	PPI
AK1	PPI
TAGLN	PPI
ATP1A1	PPI
PIK3R4	PPI
ACTR1A	PPI
TUBGCP3	PPI
CTTN	PPI
CACNA1H	PPI
HSPA9	PPI
HSPA2	PPI
INA	PPI
SERPINA1B	PPI
ACTB	PPI
ENO2	PPI
FH1	PPI
CADM3	PPI
LDHB	PPI
ANXA3	PPI
APOA1	PPI
ETFB	PPI
YWHAG	PPI
CAR2	PPI
PEBP1	PPI
PARK7	PPI
CRYAB	PPI
KNG1	PPI
HNRNPK	PPI
EIF4A2	PPI
CKM	PPI
YWHAB	PPI
PRDX2	PPI
YWHAZ	PPI
APRT	PPI
TPI1	PPI
GSTM1	PPI
COL1A2	PPI
A830010M20RIK	PPI
TUBG1	PPI
DNM1	PPI
KIF5C	PPI
CALM1	PPI
ATP1B1	PPI
KCNMB1	PPI
VCP	PPI
LMNA	PPI
TKT	PPI
SERPINA3K	PPI
STIP1	PPI
GC	PPI
AHSG	PPI
PDIA3	PPI
GLUD1	PPI
NDRG1	PPI
NEFM	PPI
EIF3F	PPI
ALDOA	PPI
ATP6V0D1	PPI
YWHAQ	PPI
TALDO1	PPI
GAPDH	PPI
RAB11B	PPI
YWHAE	PPI
PDXK	PPI
MTAP	PPI
ALB	PPI
INPP1	PPI
OAT	PPI
SERPINB6A	PPI
UCHL1	PPI
HEBP1	PPI
INMT	PPI
ACTR1B	PPI
ATP1A3	PPI
ST8SIA2	PPI
TRP53	PPI
SDHB	PPI
CCT2	PPI
PSMA7	PPI
VDAC1	PPI
STX1A	PPI
HSPA5	PPI
MGST1	PPI
RCN3	PPI
KHDRBS1	PPI
CALR	PPI
ANXA7	PPI
DLD	PPI
HSPA1L	PPI
TUBA1A	PPI
HBB-B1	PPI
HBB-B2	PPI
PDHB	PPI
ERLIN2	PPI
FADD	PPI
TUBB5	PPI
GLO1	PPI
ACTR3	PPI
PHGDH	PPI
ISYNA1	PPI
CTTN	PPI
ACAA2	PPI
GPX1	PPI
METTL7B	PPI
GOT1	PPI
TPT1	PPI
PZP	PPI
ENO3	PPI
NUCB1	PPI
PIK3C3	PPI
LRPAP1	PPI
ANXA5	PPI
LIN7C	PPI
NEFH	PPI
SOD2	PPI
ACO2	PPI
EEF1A1	PPI
MAP1A	PPI
PRPH	PPI
SPARC	PPI
DPYSL2	PPI
MYLPF	PPI
PCNA	PPI
RNPEP	PPI
YWHAH	PPI
EPB41L3	PPI
ACTG1	PPI
NEFL	PPI
VIM	PPI
STMN1	PPI
AIF1L	PPI
