gene	node_type
PYCR3	gene
PYCR1	gene
PYCR2	gene
PYCRL	gene
P5CR2	gene
HSPA1L	PPI
HSPA4	PPI
BMI1	PPI
GCK	PPI
COPB2	PPI
FUS	PPI
HSPA9	PPI
CCT6A	PPI
EIF2S3	PPI
PSMC4	PPI
NSF	PPI
ALDH1A3	PPI
ARCN1	PPI
PCYT1A	PPI
EIF2B2	PPI
IDH3A	PPI
CCT8	PPI
CCT4	PPI
DAP3	PPI
IDH3G	PPI
KPNA1	PPI
NUP98	PPI
COPB1	PPI
COPA	PPI
HSPA2	PPI
VCP	PPI
NAP1L1	PPI
HNRNPH2	PPI
HSD17B7	PPI
ACTB	PPI
MAX	PPI
SUMO2	PPI
CALM1	PPI
PSMC5	PPI
YWHAE	PPI
CNBP	PPI
ACTA2	PPI
ACTG1	PPI
ACTG2	PPI
ACTC1	PPI
EEF1A1	PPI
ACTA1	PPI
TUBA1B	PPI
TUBA4A	PPI
TUBB4B	PPI
CCT2	PPI
DAB2	PPI
MAT1A	PPI
MDM2	PPI
GALK2	PPI
PFKP	PPI
EEF1A2	PPI
GFPT1	PPI
PPID	PPI
CDC16	PPI
EIF2B5	PPI
PSMD2	PPI
EIF3I	PPI
TUBB3	PPI
CUL3	PPI
TUBA3C	PPI
TUBB2A	PPI
HNRNPD	PPI
EIF2B1	PPI
MDC1	PPI
USP10	PPI
KPNB1	PPI
FASTKD3	PPI
PSMD6	PPI
SUZ12	PPI
NEDD8	PPI
TUBB8	PPI
CEP78	PPI
LRRK2	PPI
CEP162	PPI
ARMC6	PPI
TUBA3E	PPI
KLHDC10	PPI
TUBA1A	PPI
RRM2B	PPI
BNIPL	PPI
LCA5	PPI
PGAM4	PPI
DDX55	PPI
CALML6	PPI
DNAJA4	PPI
ZCCHC13	PPI
CCT6B	PPI
HSPH1	PPI
KAT5	PPI
DNAJA3	PPI
MMS19	PPI
RNF2	PPI
PARK7	PPI
NAP1L4	PPI
CCT7	PPI
DOHH	PPI
TUBB6	PPI
TUBB2B	PPI
SLC25A31	PPI
TUBB1	PPI
TMEM165	PPI
EIF2B3	PPI
CTPS2	PPI
TUBA8	PPI
CALML5	PPI
COPG2	PPI
NXF1	PPI
EIF2B4	PPI
CDC23	PPI
NUDT5	PPI
NAP1L2	PPI
RUVBL2	PPI
RUVBL1	PPI
PCYT1B	PPI
ATP6V1D	PPI
COPG1	PPI
SIRT4	PPI
TUBAL3	PPI
ATOX1	PPI
PSMD14	PPI
KPNA5	PPI
XPOT	PPI
NUDT21	PPI
IDH3B	PPI
ACSL4	PPI
DNAJA2	PPI
CS	PPI
EIF3G	PPI
CDK2AP2	PPI
ALDH1A2	PPI
GFPT2	PPI
IPO7	PPI
ACSL3	PPI
HSPA4L	PPI
BAG3	PPI
ALDH1A1	PPI
MYC	PPI
TUBB4A	PPI
GAPDH	PPI
ASL	PPI
NTRK1	PPI
ALDH2	PPI
SLC25A5	PPI
JUN	PPI
TUBB	PPI
BPGM	PPI
HSP90AA1	PPI
GALT	PPI
PFKM	PPI
HSP90AB1	PPI
PDHA1	PPI
ENO2	PPI
UBC	PPI
HSPA1A	PPI
HSPA1B	PPI
HSPD1	PPI
HSPA5	PPI
HSPA8	PPI
SLC25A4	PPI
SLC25A6	PPI
ITGA4	PPI
EEF2	PPI
ENO3	PPI
PGAM2	PPI
ATP6V1B1	PPI
HSPA6	PPI
CTPS1	PPI
PFKL	PPI
TCP1	PPI
PGAM1	PPI
VCAM1	PPI
HK1	PPI
EIF2S2	PPI
ATP6V1B2	PPI
GART	PPI
ME2	PPI
AHCY	PPI
ATP5A1	PPI
PSMA3	PPI
DDX6	PPI
EEF1G	PPI
CALML3	PPI
CAD	PPI
PDHA2	PPI
ALDH1B1	PPI
POLR2B	PPI
MAT2A	PPI
RRM2	PPI
DNAJA1	PPI
STIP1	PPI
CIC	PPI
RC3H2	PPI
CUTC	PPI
WRAP73	PPI
FKBPL	PPI
ANAPC2	PPI
KCND3	PPI
MRPL11	PPI
MRPS16	PPI
MYO1F	PPI
EED	PPI
EGFR	PPI
APP	PPI
AR	PPI
SKIL	PPI
TAF1	PPI
MCC	PPI
MAPK3	PPI
MAPK1	PPI
PRDX2	PPI
NF2	PPI
CSNK1D	PPI
CEBPA	PPI
HMGA2	PPI
YWHAG	PPI
RELA	PPI
YWHAH	PPI
PRDX4	PPI
ICT1	PPI
PDK1	PPI
TERF2	PPI
CEP85L	PPI
RC3H1	PPI
AHNAK2	PPI
SKA3	PPI
NPLOC4	PPI
MYO18A	PPI
SKA1	PPI
ULK2	PPI
DGCR8	PPI
PRMT6	PPI
UIMC1	PPI
BABAM1	PPI
SNX11	PPI
SDCBP	PPI
TP53	PPI
LBP	PPI
PCMT1	PPI
CDKN2B	PPI
TP53BP1	PPI
