gene	node_type
CHST15	gene
CHST14	gene
DSE	gene
BCAN	PPI
NCAN	PPI
CSPG5	PPI
DCN	PPI
HCK	PPI
VCAN	PPI
BGN	PPI
CSPG4	PPI
CHST13	PPI
GAL3ST3	PPI
HS6ST2	PPI
HS3ST6	PPI
GAL3ST4	PPI
GAL3ST1	PPI
SULT4A1	PPI
CHST5	PPI
CHST6	PPI
CHST8	PPI
GAL3ST2	PPI
NDST4	PPI
CHST11	PPI
CHST12	PPI
CHST7	PPI
HS3ST2	PPI
CHST2	PPI
HS3ST4	PPI
HS3ST3B1	PPI
HS3ST3A1	PPI
SULT2B1	PPI
SULT1C2	PPI
HS3ST1	PPI
CHST10	PPI
SULT1B1	PPI
CHST1	PPI
HS6ST1	PPI
SULT1C4	PPI
NDST3	PPI
SULT1A4	PPI
SULT1E1	PPI
SULT1A1	PPI
SULT1A2	PPI
NDST1	PPI
NDST2	PPI
SULT2A1	PPI
SULT6B1	PPI
SULT1C3	PPI
CHST9	PPI
HS2ST1	PPI
CHST3	PPI
HS6ST3	PPI
CHST4	PPI
UBD	PPI
CPSF3L	PPI
UBC	PPI
ACSL4	PPI
SLC43A3	PPI
LPGAT1	PPI
ILKAP	PPI
PLEKHG1	PPI
KLHDC2	PPI
CEPT1	PPI
RABL6	PPI
TJAP1	PPI
HLA-DPA1	PPI
NRG1	PPI
SYNE4	PPI
PICK1	PPI
PHF5A	PPI
ERC1	PPI
NDUFAF2	PPI
SLC35E1	PPI
SLC25A19	PPI
CASC3	PPI
FARS2	PPI
CCNB1	PPI
HIVEP1	PPI
CANX	PPI
EIF5A	PPI
PTCH1	PPI
B3GALT6	PPI
MMP19	PPI
XYLT2	PPI
B3GAT2	PPI
CHPF2	PPI
B3GAT1	PPI
B4GALT7	PPI
ADAMTS5	PPI
UST	PPI
ADAMTS4	PPI
B3GAT3	PPI
MMP1	PPI
MMP2	PPI
MMP3	PPI
MMP7	PPI
MMP10	PPI
MMP8	PPI
TNC	PPI
MMP13	PPI
CHSY3	PPI
CHSY1	PPI
XYLT1	PPI
CHPF	PPI
DSEL	PPI
CSGALNACT2	PPI
CSGALNACT1	PPI
TNR	PPI
NCAM1	PPI
L1CAM	PPI
TGFB3	PPI
MMP14	PPI
TGFB2	PPI
TMPRSS6	PPI
TGFB1	PPI
KIT	PPI
CBL	PPI
CSF2RB	PPI
IL6ST	PPI
BCAR1	PPI
KHDRBS1	PPI
DOK1	PPI
GPC6	PPI
AGRN	PPI
SDC3	PPI
GPC4	PPI
SDC1	PPI
SDC4	PPI
SDC2	PPI
GPC1	PPI
GPC3	PPI
GPC5	PPI
HSPG2	PPI
GPC2	PPI
KERA	PPI
ACAN	PPI
OGN	PPI
LUM	PPI
PRELP	PPI
FMOD	PPI
OMD	PPI
CGA	PPI
LHB	PPI
ALS2CR12	PPI
MUC7	PPI
MUC16	PPI
MUCL1	PPI
MUC4	PPI
MUC3B	PPI
MUC13	PPI
MUC5B	PPI
MUC12	PPI
MUC1	PPI
MUC5AC	PPI
MUC3A	PPI
MUC2	PPI
MUC21	PPI
MUC17	PPI
MUC6	PPI
MUC19	PPI
MUC20	PPI
MUC15	PPI
ABL1	PPI
BCR	PPI
FCGR1A	PPI
PDCD6IP	PPI
EGFR	PPI
COL18A1	PPI
SOS1	PPI
SELP	PPI
WAS	PPI
SELL	PPI
CD44	PPI
JPH3	PPI
SRGN	PPI
SFTPD	PPI
GRIP2	PPI
SGCA	PPI
MMP9	PPI
EXT2	PPI
FGR	PPI
CSF3R	PPI
COL6A1	PPI
PLA2G2A	PPI
COL14A1	PPI
TLR2	PPI
AHSG	PPI
FBN1	PPI
CHRD	PPI
ALOX5	PPI
RORA	PPI
FGF3	PPI
FGF7	PPI
FGF10	PPI
IGF2	PPI
NR1I3	PPI
RASA3	PPI
FGF4	PPI
FGF9	PPI
FGF8	PPI
FGF20	PPI
ADAM22	PPI
MPDZ	PPI
PLG	PPI
RORC	PPI
GOPC	PPI
RAPGEF1	PPI
GRIP1	PPI
GRIA2	PPI
FGF1	PPI
TLR4	PPI
FGF2	PPI
INS	PPI
HNF4A	PPI
INSR	PPI
DIAPH1	PPI
C1QA	PPI
RASA1	PPI
APOB	PPI
UNC119	PPI
ITGB1	PPI
CDC42	PPI
PIN1	PPI
OTUB1	PPI
SRC	PPI
STAT3	PPI
FN1	PPI
APP	PPI
CNTN2	PPI
SH2D1B	PPI
TNF	PPI
DVL3	PPI
DVL1	PPI
DVL2	PPI
GP6	PPI
TRPV4	PPI
SKAP2	PPI
THBS1	PPI
FLNA	PPI
BTK	PPI
PCOLCE	PPI
TNK2	PPI
RUFY1	PPI
ASAP1	PPI
ACTB	PPI
LILRA4	PPI
LILRA6	PPI
SH3KBP1	PPI
ADAM15	PPI
